frame_index,frame_num,frame_timestamp,num_of_rois,roi_num,person_classified,emotion_classified,person_score,angry_prob,disgust_prob,fear_prob,happy_prob,sad_prob,surprise_prob,neutral_prob,entropy,arousal,valence,x,y,w,h
0,frame_0000,0:01:15,0,,,,,,,,,,,,,,,,,,
1,frame_0001,0:01:25,0,,,,,,,,,,,,,,,,,,
2,frame_0002,0:01:35,0,,,,,,,,,,,,,,,,,,
3,frame_0003,0:01:45,0,,,,,,,,,,,,,,,,,,
4,frame_0004,0:01:55,0,,,,,,,,,,,,,,,,,,
5,frame_0005,0:02:05,0,,,,,,,,,,,,,,,,,,
6,frame_0006,0:02:15,0,,,,,,,,,,,,,,,,,,
7,frame_0007,0:02:25,0,,,,,,,,,,,,,,,,,,
8,frame_0008,0:02:35,0,,,,,,,,,,,,,,,,,,
9,frame_0009,0:02:45,0,,,,,,,,,,,,,,,,,,
10,frame_0010,0:02:55,0,,,,,,,,,,,,,,,,,,
11,frame_0011,0:03:05,0,,,,,,,,,,,,,,,,,,
12,frame_0012,0:03:15,0,,,,,,,,,,,,,,,,,,
13,frame_0013,0:03:25,0,,,,,,,,,,,,,,,,,,
14,frame_0014,0:03:35,0,,,,,,,,,,,,,,,,,,
15,frame_0015,0:03:45,0,,,,,,,,,,,,,,,,,,
16,frame_0016,0:03:55,0,,,,,,,,,,,,,,,,,,
17,frame_0017,0:04:05,0,,,,,,,,,,,,,,,,,,
18,frame_0018,0:04:15,0,,,,,,,,,,,,,,,,,,
19,frame_0019,0:04:25,1,frame_0019_00,interviewer,sad,0.7616641847147523,7.279978583119988e-05,3.075484105537514e-20,0.7915172266374365,3.139373646122915e-13,91.45511933893677,5.314890656422937e-13,7.753287717895968,0.3182566618448153,-0.36027941997056356,-0.5534803289919413,255.0,23.0,103.0,149.0
20,frame_0020,0:04:35,1,frame_0020_00,interviewee,happy,0.6059192339592877,0.29425290413200855,2.052687619880089e-06,0.00013318602896106313,60.79457998275757,0.6382014602422714,7.912722708169895e-05,38.27275633811951,0.7195762943523982,0.4247763429412082,0.48046716379560406,331.0,66.0,116.0,156.0
21,frame_0021,0:04:45,1,frame_0021_00,interviewee,happy,0.7066232501838884,5.730847610881782,1.0574742423638162e-05,0.0002956606243755365,57.97087895696634,13.759801611888506,1.0635678527880103e-07,22.538168581615007,1.0887003100676926,0.3851441341159533,0.34109044114671117,318.0,64.0,113.0,155.0
22,frame_0022,0:04:55,1,frame_0022_00,interviewee,sad,0.6546920630395533,16.68536514043808,0.02155791880795732,9.889461100101471,5.931450054049492,57.28422403335571,8.285194326163037e-05,10.187862813472748,1.2488203967935236,-0.01821299063976769,-0.47253864037529636,298.0,76.0,115.0,152.0
23,frame_0023,0:05:05,1,frame_0023_00,interviewee,happy,0.6040956291786869,1.3988888516497896e-05,5.705993236639789e-13,5.3716710882140596e-11,99.87086056123502,8.165509775853658e-06,2.863299175475573e-09,0.1291240952237362,0.009883699306460615,0.6990960752232213,0.7989667375857288,325.0,68.0,114.0,158.0
24,frame_0024,0:05:15,2,frame_0024_00,interviewee,sad,0.7620332959996607,0.0016008620150387287,2.7304392347105022e-05,0.000695901917424635,0.6840608548372984,99.26088452339172,1.952042000263887e-09,0.05273034912534058,0.04570686251304781,-0.39224055369540023,-0.5901083928701999,486.0,84.0,53.0,70.0
25,frame_0024,0:05:15,2,frame_0024_01,interviewer,fear,0.8562890237244623,29.98269677059035,9.789920924588167e-06,40.11227727605565,6.350667215381079e-06,28.5498516887338,1.2297956719910547e-07,1.3551578733419105,1.1437463024034369,0.3464827896092662,-0.6218516684150597,135.0,63.0,57.0,85.0
26,frame_0025,0:05:25,1,frame_0025_00,interviewer,sad,0.7718659351998767,1.4840285293757915,8.067653971968872e-20,0.5702020134776831,5.274752412875701e-13,69.47559714317322,3.1842638335138895e-12,28.470176458358765,0.7026465976300189,-0.2650068033020652,-0.430662994645519,213.0,38.0,104.0,156.0
27,frame_0026,0:05:35,1,frame_0026_00,interviewee,happy,0.5663347670168073,0.0044656043361627285,1.1890973290342462e-09,9.082439786489452e-08,96.0029659273008,0.0024011427352536798,7.987756710336384e-07,3.9901702249151603,0.16840037431363167,0.672037957575725,0.7679780639734746,325.0,69.0,113.0,156.0
28,frame_0027,0:05:45,2,frame_0027_00,interviewee,sad,0.7465789765750152,0.007219503592091109,6.57573444813776e-05,0.048283117874748156,0.08671939591884863,99.8314618863418,2.2077547757247284e-06,0.026249658768024597,0.01434729820943289,-0.39833729799318784,-0.5986357028534853,483.0,75.0,51.0,72.0
29,frame_0027,0:05:45,2,frame_0027_01,interviewer,fear,0.8019423286010858,0.05416272324509919,2.2747794858717085e-11,97.31359481811523,8.621993674573503e-08,2.6322031393647194,2.768131860883538e-10,3.9231377968462766e-05,0.1263216993522607,0.6709913281146406,-0.6000539261168879,157.0,73.0,52.0,84.0
30,frame_0028,0:05:55,1,frame_0028_00,interviewee,neutral,0.5726681854670687,4.7748284310306985,7.53757798250679e-05,5.807572655967157,0.036863352550650826,1.3474915432940073,0.025752014903111468,88.00741577060035,0.4860425896184455,0.0643762987191972,-0.07595679696322301,314.0,59.0,124.0,160.0
31,frame_0029,0:06:05,1,frame_0029_00,interviewer,sad,0.6203243779324717,0.007342358003370464,2.9504973111885955e-23,3.062772750854492,5.757907954988446e-18,96.82878851890564,1.371747689637923e-15,0.10110108414664865,0.14563925779561057,-0.3658316906716209,-0.5994007641245844,234.0,37.0,104.0,145.0
32,frame_0030,0:06:15,2,frame_0030_00,interviewee,sad,0.7196579428273951,0.006542207795518825,0.0002666992623227946,0.20418970274153916,0.013100315011720804,99.74810484074297,5.459920308920641e-07,0.027789439952887303,0.01927430472930953,-0.3974313315262028,-0.59965662490625,490.0,79.0,46.0,64.0
33,frame_0030,0:06:15,2,frame_0030_01,interviewer,angry,0.7740479366575603,77.78589129447937,1.9911955232847526e-13,1.4017223380506039,0.0007058529718051432,18.69468241930008,9.02994345963748e-08,2.11699903011322,0.6504186951991908,0.4017536161492288,-0.6650740204204888,150.0,70.0,53.0,80.0
