frame_index,frame_num,frame_timestamp,num_of_rois,roi_num,person_classified,emotion_classified,person_score,angry_prob,disgust_prob,fear_prob,happy_prob,sad_prob,surprise_prob,neutral_prob,entropy,arousal,valence,x,y,w,h
0,frame_0000,0:01:15,0,,,,,,,,,,,,,,,,,,
1,frame_0001,0:01:25,0,,,,,,,,,,,,,,,,,,
2,frame_0002,0:01:35,0,,,,,,,,,,,,,,,,,,
3,frame_0003,0:01:45,0,,,,,,,,,,,,,,,,,,
4,frame_0004,0:01:55,0,,,,,,,,,,,,,,,,,,
5,frame_0005,0:02:05,0,,,,,,,,,,,,,,,,,,
6,frame_0006,0:02:15,0,,,,,,,,,,,,,,,,,,
7,frame_0007,0:02:25,0,,,,,,,,,,,,,,,,,,
8,frame_0008,0:02:35,0,,,,,,,,,,,,,,,,,,
9,frame_0009,0:02:45,0,,,,,,,,,,,,,,,,,,
10,frame_0010,0:02:55,0,,,,,,,,,,,,,,,,,,
11,frame_0011,0:03:05,1,frame_0011_00,interviewee,angry,0.6314873730378657,98.11172474096566,6.607708108173491e-07,0.1597980248993948,1.359139650114754,0.3522523888797992,1.0907165599121076e-05,0.017073415364323725,0.1087932152718713,0.597893991855011,-0.6789812194652499,309.0,121.0,93.0,134.0
12,frame_0012,0:03:15,1,frame_0012_00,interviewer,neutral,0.6464519529888874,0.28014873892955416,1.7611309601126297e-18,0.0785584317312945,8.884559416762086e-10,2.826750260695831,2.0147454784828204e-10,96.81454281893627,0.15422709996726525,-0.009076199579255949,-0.019392893319156085,247.0,91.0,103.0,148.0
13,frame_0013,0:03:25,1,frame_0013_00,interviewer,happy,0.6902334637537327,23.451948073622468,9.979803134759326e-08,0.01010814945625287,72.88958268699542,1.924377421997632,2.35443621754742e-05,1.7239567919943806,0.7175581746281652,0.6433122032631975,0.40734620503074537,261.0,122.0,93.0,132.0
14,frame_0014,0:03:35,1,frame_0014_00,interviewer,sad,0.6875778522539464,14.207292449908998,0.0035032424690039066,4.365672431330229,0.016167095836432777,75.2868101171738,0.0036980053140291385,6.1168588618552,0.8007235053054319,-0.18519051530915537,-0.5772463363497226,244.0,97.0,102.0,144.0
15,frame_0015,0:03:45,1,frame_0015_00,interviewer,neutral,0.7350775372774185,6.158293794596935,0.0007337602745106535,0.048756119221650754,8.700225955220944,11.252148598176408,0.05783187700204527,73.78200605130124,0.862368730833076,0.05364889919281404,-0.04108548603871273,238.0,107.0,102.0,145.0
16,frame_0016,0:03:55,1,frame_0016_00,interviewer,neutral,0.6236468370922645,11.320504546165466,2.6610939585225424e-05,0.21312593016773462,0.11970282066613436,18.074561655521393,0.0019284045265521854,70.27015089988708,0.8251241628895558,-0.0020299110202245175,-0.18800450743043484,220.0,90.0,99.0,130.0
17,frame_0017,0:04:05,1,frame_0017_00,interviewer,neutral,0.7002124380852358,1.39933992177248,3.783037494375918e-08,0.0004531608738034265,0.11100346455350518,2.0451240241527557,1.5044780354855902e-05,96.44407033920288,0.18181920742839247,0.0009958602837489782,-0.021180754931829877,236.0,93.0,102.0,146.0
18,frame_0018,0:04:15,1,frame_0018_00,interviewer,neutral,0.6382587741660944,0.03110109166620324,2.0074356584357176e-12,0.06521323034791883,9.491748477009917e-07,1.3206200031197068,9.754640376117802e-08,98.58306067191832,0.07850801339666404,-0.00463937342544499,-0.008532699058898831,243.0,97.0,97.0,133.0
19,frame_0019,0:04:25,1,frame_0019_00,interviewer,neutral,0.7555470593247028,24.801795208240126,5.3917525345170465e-06,0.00510400798794532,0.05409712840390165,2.599348935562499,0.0006523491851978976,72.53899305594051,0.6782098902558678,0.1388330184306729,-0.18880393543727927,211.0,113.0,104.0,142.0
20,frame_0020,0:04:35,1,frame_0020_00,interviewee,sad,0.5191466504406455,35.938625223800514,0.0003743319220444085,0.7247612413303565,5.428318777284768,53.54068833104511,0.054984183946647176,4.312245033711787,1.0358686987250447,0.044981554616267766,-0.5335192073702459,260.0,119.0,96.0,125.0
21,frame_0021,0:04:45,1,frame_0021_00,interviewer,sad,0.685905784730391,23.646804690361023,0.01051414365065284,0.8555425330996513,0.026165373856201768,54.68266010284424,0.0030196757506928407,20.775294303894043,1.0416844572329058,-0.07062215708356236,-0.49860904595989264,234.0,109.0,101.0,145.0
22,frame_0022,0:04:55,1,frame_0022_00,interviewer,neutral,0.7120173378261937,1.36686060577631,0.0017106945961131714,0.19995851907879114,0.08672387921251357,22.665680944919586,0.0005238262474449584,75.67853927612305,0.6247957361751397,-0.08044546066321347,-0.14607794954790732,243.0,119.0,97.0,131.0
23,frame_0023,0:05:05,1,frame_0023_00,interviewer,neutral,0.671575144006398,1.6398092731833458,9.721355664904507e-09,2.51992866396904,6.901908022882708e-05,18.736904859542847,1.6827357285364997e-05,77.10327506065369,0.6744449497467009,-0.04746864536970409,-0.13901904665933323,242.0,108.0,95.0,134.0
24,frame_0024,0:05:15,1,frame_0024_00,interviewer,sad,0.7917641140140929,0.18977891886606812,9.250328503185301e-06,1.0137076489627361,0.0019836570572806522,98.7758219242096,2.646594721156248e-07,0.018702252418734133,0.07242689349047274,-0.38685474517324053,-0.6000498243082998,230.0,109.0,89.0,134.0
25,frame_0025,0:05:25,1,frame_0025_00,interviewee,angry,0.5648531064844727,75.82588195800781,1.0836076480558177e-07,0.0036575984267983586,0.515452679246664,6.192024052143097,0.0003006046881637303,17.462682723999023,0.7143970761625512,0.43382337264577625,-0.5638304405152734,270.0,116.0,95.0,123.0
26,frame_0026,0:05:35,1,frame_0026_00,interviewee,angry,0.5932311900230546,99.53710436820984,2.2422803613864062e-07,0.0006804402801208198,4.9338492402739575e-06,0.36869547329843044,2.7071760655417165e-05,0.09348540334030986,0.0318826915152875,0.5957528591817401,-0.6989758398706998,256.0,118.0,93.0,124.0
27,frame_0027,0:05:45,1,frame_0027_00,interviewee,angry,0.47600634768536915,87.40322143993122,6.009266110007477e-05,0.32810795400494885,0.004577991239742489,11.795803243422121,3.6031362039736737e-06,0.4682189226783606,0.4141528222188249,0.47956512638568466,-0.6845297995702458,261.0,117.0,96.0,125.0
