frame_index,frame_num,frame_timestamp,num_of_rois,roi_num,person_classified,emotion_classified,person_score,angry_prob,disgust_prob,fear_prob,happy_prob,sad_prob,surprise_prob,neutral_prob,entropy,arousal,valence,x,y,w,h
0,frame_0000,0:01:15,0,,,,,,,,,,,,,,,,,,
1,frame_0001,0:01:25,0,,,,,,,,,,,,,,,,,,
2,frame_0002,0:01:35,0,,,,,,,,,,,,,,,,,,
3,frame_0003,0:01:45,0,,,,,,,,,,,,,,,,,,
4,frame_0004,0:01:55,0,,,,,,,,,,,,,,,,,,
5,frame_0005,0:02:05,0,,,,,,,,,,,,,,,,,,
6,frame_0006,0:02:15,0,,,,,,,,,,,,,,,,,,
7,frame_0007,0:02:25,0,,,,,,,,,,,,,,,,,,
8,frame_0008,0:02:35,0,,,,,,,,,,,,,,,,,,
9,frame_0009,0:02:45,0,,,,,,,,,,,,,,,,,,
10,frame_0010,0:02:55,0,,,,,,,,,,,,,,,,,,
11,frame_0011,0:03:05,0,,,,,,,,,,,,,,,,,,
12,frame_0012,0:03:15,0,,,,,,,,,,,,,,,,,,
13,frame_0013,0:03:25,0,,,,,,,,,,,,,,,,,,
14,frame_0014,0:03:35,0,,,,,,,,,,,,,,,,,,
15,frame_0015,0:03:45,0,,,,,,,,,,,,,,,,,,
16,frame_0016,0:03:55,0,,,,,,,,,,,,,,,,,,
17,frame_0017,0:04:05,1,frame_0017_00,interviewer,happy,0.7165622217540848,0.043035798826526035,5.102229343383171e-06,0.0199982166219371,80.57717565162037,0.045592465710749666,0.005447477048624801,19.308745521828264,0.5006463548129447,0.5642996571308894,0.6439443647197702,312.0,120.0,101.0,143.0
18,frame_0018,0:04:15,1,frame_0018_00,interviewee,angry,1.0299783962940028,61.22664213180542,0.0012114259334339295,1.7807936295866966,0.04277858242858201,9.310611337423325,0.07878021569922566,27.559182047843933,0.9574156079381716,0.3435162889286402,-0.4944860551840065,299.0,107.0,71.0,118.0
19,frame_0019,0:04:25,1,frame_0019_00,interviewer,neutral,0.5075757186383848,0.29123925477202267,9.69193810799403e-09,4.228456942943152,8.559716258032099,1.6441705685359578,0.005881917955300537,85.2705350679478,0.5651571667465667,0.08473502103403328,0.031226817815955602,323.0,102.0,97.0,125.0
20,frame_0020,0:04:35,1,frame_0020_00,interviewee,neutral,0.8073879720744421,1.3341749086976051,1.2579447172811342e-05,0.02098594995914027,0.0007681533134018537,27.83007025718689,1.8809886981330237e-06,70.81398367881775,0.6598146557373352,-0.10316290006740304,-0.17643949690942762,313.0,112.0,78.0,117.0
21,frame_0021,0:04:45,1,frame_0021_00,interviewee,neutral,0.9333084405378854,0.020965503063052893,1.1679065612562375e-12,6.593741108673612e-07,0.0003963507424487034,0.014495343202725053,3.2505309555119766e-08,99.96414184570312,0.0034649911021654876,7.05909764293143e-05,-0.00023056360094973324,320.0,102.0,75.0,121.0
22,frame_0022,0:04:55,1,frame_0022_00,interviewee,neutral,0.9051298660945337,3.287145318814833,1.3141650684930228e-05,0.004092540137397655,0.0003301815437578422,40.29470624296106,6.5537559733065346e-06,56.413707519394606,0.8019228649751748,-0.14142490215218734,-0.26480023425447546,311.0,108.0,75.0,119.0
23,frame_0023,0:05:05,1,frame_0023_00,interviewer,neutral,0.6107972223396946,1.7035823315382004,6.879184297758911e-05,0.03539017925504595,0.0053159277740633115,3.40556800365448,3.790920573010226e-05,94.85003352165222,0.2379782986622099,-0.00311532562701018,-0.032528627902109974,313.0,122.0,102.0,144.0
24,frame_0024,0:05:15,1,frame_0024_00,interviewee,angry,0.9026023582724867,69.04639601707458,1.065588079995905e-05,0.003267201827839017,3.256295621395111,18.433979153633118,2.862871326669847e-05,9.260021150112152,0.8996526698678435,0.36335966024782423,-0.5678978453574395,314.0,105.0,74.0,117.0
25,frame_0025,0:05:25,1,frame_0025_00,interviewee,happy,0.9805141526875665,0.022845048993671062,8.184341117282238e-10,0.0004005868481674776,86.47551101738082,0.014821701604241686,0.0020322945907747304,13.484382512046992,0.39932633211045093,0.6054254230763295,0.6915609682380106,314.0,104.0,79.0,118.0
26,frame_0026,0:05:35,1,frame_0026_00,interviewer,angry,0.9496545550181086,90.41516127676734,0.00034307526901446254,2.347796363997243,0.23471050897750312,4.419669399837816,0.24602633504726498,2.3362924806053926,0.433836122147351,0.5448590780782611,-0.6706515356352556,291.0,118.0,95.0,128.0
27,frame_0027,0:05:45,1,frame_0027_00,interviewee,happy,0.7586738157405151,0.02975625975523144,6.520252782138414e-05,9.536551459632392e-06,98.3833372592926,0.8002643473446369,3.144499203244777e-05,0.7865343242883682,0.09521342520455148,0.685661354907581,0.782056430314951,308.0,121.0,78.0,111.0
28,frame_0028,0:05:55,1,frame_0028_00,interviewer,neutral,0.6665014362143523,6.394875794649124,2.1078779610661513e-06,1.0956327430903912,0.03251474699936807,37.04979717731476,0.00026447767140780343,55.42691349983215,0.9228860274986151,-0.10193077936573085,-0.2733755489534399,319.0,109.0,97.0,131.0
29,frame_0029,0:06:05,1,frame_0029_00,interviewer,neutral,0.5608278569458157,1.872830092906952,3.8087922149543374e-06,0.9634877555072308,2.5598458819331427e-05,7.184905558824539,1.6323470219958836e-05,89.97873067855835,0.4034384184753408,-0.01075790618595569,-0.061999927116333356,324.0,110.0,98.0,128.0
30,frame_0030,0:06:15,1,frame_0030_00,interviewer,sad,0.6813412576914982,3.356340155005455,0.0017954442228074186,6.1256978660821915,0.002878960185626056,68.77878904342651,0.0025447494408581406,21.73195481300354,0.874897573635492,-0.21205133313160335,-0.4729006599724016,328.0,115.0,103.0,139.0
31,frame_0031,0:06:25,1,frame_0031_00,interviewer,neutral,0.6295258022916332,1.6979640511231484,9.690366332132563e-08,0.009739754456503848,3.5720726993519865e-05,4.562298007285357,1.664447835912603e-05,93.72994825004915,0.2716584170890513,-0.007992845949580192,-0.03931762326290946,302.0,114.0,103.0,140.0
32,frame_0032,0:06:35,1,frame_0032_00,interviewer,neutral,0.7985428465443704,0.046007055789232254,2.67754046490154e-05,0.11544604785740376,1.0134660638868809,1.8442997708916664,0.0009433500963496044,96.97980880737305,0.16137898154279245,0.0008088551603634647,-0.003969209819371142,323.0,123.0,97.0,130.0
