frame_index,frame_num,frame_timestamp,num_of_rois,roi_num,person_classified,emotion_classified,person_score,angry_prob,disgust_prob,fear_prob,happy_prob,sad_prob,surprise_prob,neutral_prob,entropy,arousal,valence,x,y,w,h
0,frame_0000,0:01:15,0,,,,,,,,,,,,,,,,,,
1,frame_0001,0:01:25,0,,,,,,,,,,,,,,,,,,
2,frame_0002,0:01:35,0,,,,,,,,,,,,,,,,,,
3,frame_0003,0:01:45,0,,,,,,,,,,,,,,,,,,
4,frame_0004,0:01:55,0,,,,,,,,,,,,,,,,,,
5,frame_0005,0:02:05,0,,,,,,,,,,,,,,,,,,
6,frame_0006,0:02:15,0,,,,,,,,,,,,,,,,,,
7,frame_0007,0:02:25,0,,,,,,,,,,,,,,,,,,
8,frame_0008,0:02:35,1,frame_0008_00,interviewer,neutral,0.8599167904562867,0.8136984892189503,7.188824622389456e-10,0.005882613913854584,0.050145911518484354,0.15349015593528748,2.0294026459311e-07,98.9767849445343,0.06365762241189293,0.004660431615277689,-0.006250957944750747,230.0,111.0,92.0,126.0
9,frame_0009,0:02:45,1,frame_0009_00,interviewee,angry,0.7100947405237178,99.76505637168884,8.431285323240445e-05,0.015005985915195197,8.049355528783053e-05,0.09148880490101874,0.0005144324404682266,0.1277721719816327,0.018667882940891292,0.5983343567649058,-0.6989922518584876,251.0,101.0,93.0,125.0
10,frame_0010,0:02:55,1,frame_0010_00,interviewee,angry,0.740514677118469,99.91793036460876,1.838260516029422e-08,0.004530681690084748,0.00010958598295474076,0.05986961768940091,2.2310452152396465e-06,0.01756645506247878,0.007250784577773122,0.5993006034941157,-0.699811028865172,225.0,106.0,91.0,121.0
11,frame_0011,0:03:05,1,frame_0011_00,interviewee,angry,0.679617527199949,56.829191068314444,1.172031997949105e-05,2.6673081716666425,0.0001035960859358476,32.79607984972952,3.965209789137568e-05,7.707269663485248,0.9810096455737649,0.22846306176297962,-0.6105837602717389,250.0,104.0,96.0,129.0
12,frame_0012,0:03:15,2,frame_0012_00,interviewer,angry,1.0599889010716,87.75878998741985,2.8431266288801962e-08,10.306388623283937,0.14349697704204642,0.04655975472149309,1.7986370094726682e-06,1.744765251250893,0.43240120748938454,0.5995157145823049,-0.675281237368106,97.0,121.0,43.0,59.0
13,frame_0012,0:03:15,2,frame_0012_01,interviewee,sad,0.9423935015412915,0.13360688462853432,7.969801485430139e-08,8.63703116774559,8.165359304257436e-05,89.24603462219238,1.6550760761901984e-06,1.9832469522953033,0.39967438733610483,-0.29572269395192524,-0.5882329836408651,421.0,118.0,36.0,56.0
14,frame_0013,0:03:25,1,frame_0013_00,interviewer,neutral,0.6505905221540385,0.3705327631905675,1.8161213644063423e-07,0.01148004739661701,0.0008425250598520506,0.7566733285784721,0.0001226621748173784,98.86034727096558,0.07018625087403337,-0.0007162568857402523,-0.007195420020291376,213.0,78.0,103.0,140.0
15,frame_0014,0:03:35,1,frame_0014_00,interviewee,angry,0.8109608202005115,60.66166524062545,0.0027744686866095253,1.0723406156802544,0.17200532463224677,25.452439513947933,0.025585242907940918,12.613194442581799,0.9746401394090831,0.27108366031947184,-0.5823213751742639,250.0,107.0,94.0,129.0
16,frame_0015,0:03:45,1,frame_0015_00,interviewer,neutral,0.4799814275130462,3.61224003136158,0.0010554975233389996,2.950199320912361,0.0681090634316206,12.50627487897873,0.028211058815941215,80.83391189575195,0.6632853165790614,-0.006994645674240024,-0.11737419715882423,215.0,88.0,98.0,131.0
17,frame_0016,0:03:55,2,frame_0016_00,interviewer,fear,0.9252579359797375,0.02548045000387579,1.215897289873505e-09,84.05518721876297,0.0023539877397143927,15.916905889879954,4.7067496285098175e-06,6.051641168414143e-05,0.44088884865186295,0.5248880852436669,-0.5999920710814796,105.0,123.0,40.0,58.0
18,frame_0016,0:03:55,2,frame_0016_01,interviewee,neutral,0.8349315648313774,0.2624253509566188,2.8835722004627584e-09,10.074357688426971,0.005494881042977795,27.08282172679901,0.08481360273435712,62.49008774757385,0.9009372886099951,-0.03551925798464113,-0.22439684050895597,428.0,118.0,37.0,55.0
19,frame_0017,0:04:05,2,frame_0017_00,interviewee,fear,1.1080052258465416,0.0025168088541249745,1.7806603088733886e-11,99.96974468231201,0.023839772620704025,0.0038950296584516764,3.4708861562648963e-06,1.2241100494359003e-09,0.0029537123881880987,0.6999546396861627,-0.599668723869416,105.0,131.0,42.0,56.0
20,frame_0017,0:04:05,2,frame_0017_01,unknown,,,,,,,,,,,,,424.0,117.0,33.0,54.0
21,frame_0018,0:04:15,2,frame_0018_00,interviewer,angry,0.7693117878991327,63.61830234527588,3.7684952380878656e-08,25.643250346183777,2.584655760529131e-05,10.733869671821594,2.7054034013040962e-08,0.004555752093438059,0.8767164431043589,0.5182772690630457,-0.663590629908081,100.0,121.0,43.0,59.0
22,frame_0018,0:04:15,2,frame_0018_01,interviewee,sad,0.8911213999727635,0.0008552405233785976,6.179862843680439e-07,0.16139659564942122,0.0027046222385251895,99.83497858047485,5.291417477792937e-10,7.110992896741664e-05,0.012419659272328725,-0.39818607249535154,-0.5999626050862885,427.0,113.0,34.0,53.0
23,frame_0019,0:04:25,2,frame_0019_00,interviewer,fear,1.1205946235146849,0.14073476845952648,5.954529561799379e-10,99.64334969003801,0.0019463457146126299,0.21394341961968905,3.223410487295169e-06,1.4513851144911772e-05,0.026166290960905985,0.6975057329716169,-0.6001133183819721,426.0,114.0,38.0,57.0
24,frame_0019,0:04:25,2,frame_0019_01,interviewee,sad,0.967171723030932,0.0870973221026361,2.027051616837472e-09,48.555439710617065,2.900631290714273e-07,49.65750277042389,2.023661904715368e-07,1.6999633982777596,0.773811328592304,0.14178065448069227,-0.5898873330251837,103.0,131.0,42.0,56.0
25,frame_0020,0:04:35,1,frame_0020_00,interviewee,angry,0.7377535650523951,65.91901589405347,9.431126399107052e-06,0.14927227133247,1.753818779728558,0.22842359800057435,0.027445944945252543,31.922005781888274,0.7359935007187322,0.40814163418268695,-0.4495590184746478,287.0,96.0,98.0,121.0
