Model,Accuracy,Precision (Macro),Precision (Weighted),Recall (Macro),Recall (Weighted),F1 Score (Macro),F1 Score (Weighted)
ArcFace,0.9693020561830292,0.6834758903410724,0.9737958592369192,0.9086963637158968,0.9693020561830292,0.7052147070121308,0.971201508075975
VGG-Face,0.980596582681726,0.6920181042659982,0.9852629298149871,0.9168063237382761,0.980596582681726,0.7135259327064931,0.9825647389372759
FaceNet-512,0.9869678540399652,0.6869902423370696,0.9937920400858032,0.9234170541611261,0.9869678540399652,0.7036552585938146,0.9901314283487977
