frame_index,frame_num,frame_timestamp,num_of_rois,roi_num,person_classified,emotion_classified,person_score,angry_prob,disgust_prob,fear_prob,happy_prob,sad_prob,surprise_prob,neutral_prob,entropy,arousal,valence,x,y,w,h
0,frame_0000,0:01:15,0,,,,,,,,,,,,,,,,,,
1,frame_0001,0:01:25,0,,,,,,,,,,,,,,,,,,
2,frame_0002,0:01:35,0,,,,,,,,,,,,,,,,,,
3,frame_0003,0:01:45,0,,,,,,,,,,,,,,,,,,
4,frame_0004,0:01:55,0,,,,,,,,,,,,,,,,,,
5,frame_0005,0:02:05,0,,,,,,,,,,,,,,,,,,
6,frame_0006,0:02:15,0,,,,,,,,,,,,,,,,,,
7,frame_0007,0:02:25,0,,,,,,,,,,,,,,,,,,
8,frame_0008,0:02:35,0,,,,,,,,,,,,,,,,,,
9,frame_0009,0:02:45,0,,,,,,,,,,,,,,,,,,
10,frame_0010,0:02:55,1,frame_0010_00,interviewer,sad,0.8776037054724433,0.41381707414984703,2.2047171380212838e-09,1.2247106060385704,2.1712300846132848e-07,77.28471159934998,8.270110152253096e-08,21.076762676239014,0.6039333763029857,-0.2980829675221468,-0.4739532506990248,205.0,98.0,95.0,130.0
11,frame_0011,0:03:05,1,frame_0011_00,interviewer,sad,1.071214198979455,21.733517944812775,2.896617612435648e-07,2.9217058792710304,6.390580153947667e-06,70.15504837036133,2.083389993856599e-06,5.189723521471024,0.8371579912864535,-0.1297670823875052,-0.5905950936809147,199.0,118.0,105.0,142.0
12,frame_0012,0:03:15,1,frame_0012_00,interviewer,neutral,1.0018869652223297,9.040414541959763,1.2983511510356038e-05,0.36670134868472815,0.000498966528539313,16.629737615585327,7.936724273349682e-05,73.96255135536194,0.7593365028134078,-0.009705387115613468,-0.16525731726271997,193.0,111.0,107.0,147.0
13,frame_0013,0:03:25,1,frame_0013_00,interviewee,neutral,0.8669433722712128,17.63661652803421,8.682903853696189e-05,2.466088905930519,0.01986570277949795,4.1717153042554855,0.015947794599924237,75.68967938423157,0.7437831182999773,0.10666236305606844,-0.16306103195998956,293.0,99.0,92.0,125.0
14,frame_0014,0:03:35,1,frame_0014_00,interviewer,sad,1.0035465166417246,0.04743618790820981,4.418960035830554e-14,7.060840629239007,9.591111482978582e-11,90.90355147081,2.1656748463576946e-09,1.9881691276229467,0.3553769248521267,-0.31390370433312076,-0.5881184059062218,173.0,108.0,110.0,142.0
15,frame_0015,0:03:45,1,frame_0015_00,interviewer,neutral,0.8928637567725788,0.6379153579473495,1.1748580407144882e-09,3.3494722098112106,1.9961040820248854e-06,26.258912682533264,5.420674131784153e-07,69.75369453430176,0.7483832515548914,-0.07776183480097804,-0.18211569873081998,171.0,101.0,106.0,147.0
16,frame_0016,0:03:55,1,frame_0016_00,interviewee,neutral,0.8542041644051859,0.5354164633899927,1.2178845709698294e-07,0.005714382496080361,0.018276208720635623,5.083635449409485,1.4768723133329331e-05,94.35694813728333,0.2363917058697375,-0.016953990363630534,-0.034137746343024925,281.0,97.0,93.0,126.0
17,frame_0017,0:04:05,1,frame_0017_00,interviewee,neutral,0.8904251786052073,4.488994553685188,6.6194481007642025e-06,0.8811849169433117,0.004438134783413261,16.182437539100647,0.0017622849554754794,78.44117283821106,0.6668447085913046,-0.03158230333421628,-0.13376218873010756,303.0,106.0,91.0,126.0
18,frame_0018,0:04:15,1,frame_0018_00,interviewee,neutral,0.9115284608566177,18.874549865722656,2.0008411638627877e-05,0.3606106387451291,9.786364216779475e-05,21.686840057373047,5.576092121373222e-05,59.07782316207886,0.9774262098278579,0.02902540459415945,-0.2644056873428269,300.0,107.0,92.0,125.0
19,frame_0019,0:04:25,1,frame_0019_00,interviewee,neutral,0.8719606575726924,5.022638144807594,2.647716563271453e-09,0.023205231847492677,0.0007774731801918867,0.26120181049577124,2.1309075446445727e-05,94.69215806629158,0.21945407287862823,0.029259071042602988,-0.03685860426450343,301.0,110.0,94.0,128.0
20,frame_0020,0:04:35,1,frame_0020_00,interviewee,neutral,0.9498252622053251,2.0016703085106795,0.0001236127292041454,0.35019002148151523,0.149598738247826,6.0981944112893585,0.0015505759635002926,91.39867373697005,0.3607908742699908,-0.008871459030092356,-0.051499871835467816,300.0,99.0,95.0,128.0
21,frame_0021,0:04:45,1,frame_0021_00,interviewee,neutral,0.8850139404994746,32.040852308273315,3.6024676575152625e-07,6.000816822052002,0.0006192921318870503,0.7295917719602585,0.012550748942885548,61.21556758880615,0.8710228598253507,0.23143720663336945,-0.2646132629108875,304.0,97.0,90.0,128.0
22,frame_0022,0:04:55,1,frame_0022_00,interviewer,neutral,0.8903627401662434,0.4521246999502182,1.820544854192613e-12,27.759358286857605,0.00010772289442684269,6.3144251704216,0.0009460301953367889,65.47304391860962,0.8320220239362004,0.1717788778278473,-0.20760292773940275,182.0,103.0,105.0,144.0
23,frame_0023,0:05:05,1,frame_0023_00,interviewee,angry,0.859493706326586,73.74320939264186,8.981017115462097e-10,1.0605216624710962,6.7189332304096605e-06,2.4321476823511503,3.295549395757689e-06,22.76410636137648,0.7001189484993592,0.4401543906633663,-0.5371584148900499,315.0,106.0,90.0,127.0
24,frame_0024,0:05:15,1,frame_0024_00,interviewer,neutral,1.0430449045045918,19.63350772857666,3.1375915320736025e-10,0.9685201570391655,6.8185542545506905e-06,2.4439701810479164,1.557019402298465e-05,76.95398330688477,0.656835336812455,0.11480497903891569,-0.15790937930154528,191.0,105.0,103.0,144.0
25,frame_0025,0:05:25,1,frame_0025_00,interviewee,neutral,0.8573575883212241,5.11364334008952,2.059367660358035e-08,0.09584977513587625,0.0002917944076425904,2.444611076689427,1.4413544995119159e-05,92.34558894309932,0.32300629705511263,0.021576522090725036,-0.05103587662629308,293.0,115.0,93.0,129.0
26,frame_0026,0:05:35,1,frame_0026_00,interviewee,neutral,0.8406314904861655,1.6005730256438255,2.887638912707491e-10,1.8070727586746216,9.715081432659645e-05,0.14365653041750193,0.0003668098543130327,96.4482307434082,0.18304851575527625,0.021681935878316377,-0.022906142470149,300.0,102.0,92.0,125.0
